category,backbone,alpha_ok,n_seeds,false_alarm_mean,false_alarm_std,miss_mean,miss_std,unsure_mean,unsure_std
screw,dinov2_s,0.35,5,0.03902439024390243,0.03272294601219204,0.06218487394957983,0.014061513050992867,0.425,0.02964635306407854
screw,dinov2_s,0.4,5,0.03902439024390243,0.03272294601219204,0.043697478991596636,0.007030756525496432,0.45875000000000005,0.04159890323073435
screw,dinov2_s,0.45,5,0.03902439024390243,0.03272294601219204,0.03697478991596639,0.009581306093270067,0.49000000000000005,0.01745530005471117
screw,dinov2_s,0.5,5,0.03902439024390243,0.03272294601219204,0.03529411764705882,0.009205421134540606,0.5075000000000001,0.031061934099472988
screw,dinov2_s,0.55,5,0.03902439024390243,0.03272294601219204,0.025210084033613446,0.005942073791483592,0.5325,0.036282313184249945
screw,dinov2_s,0.6,5,0.03902439024390243,0.03272294601219204,0.021848739495798318,0.004602710567270304,0.545,0.039872844769341435
screw,wrn50,0.05,5,0.058536585365853655,0.03272294601219205,0.22857142857142856,0.0928942091121713,0.0,0.0
screw,wrn50,0.1,5,0.058536585365853655,0.03272294601219205,0.12268907563025211,0.03286992809345872,0.1025,0.07611155464185448
screw,wrn50,0.15,5,0.058536585365853655,0.03272294601219205,0.08235294117647059,0.0417639450076947,0.15625,0.07880950133074056
screw,wrn50,0.2,5,0.058536585365853655,0.03272294601219205,0.03697478991596639,0.02696942274938019,0.21375000000000002,0.08653485569410745
screw,wrn50,0.25,5,0.058536585365853655,0.03272294601219205,0.021848739495798318,0.015265463970239456,0.23625,0.08093689671589838
screw,wrn50,0.3,5,0.058536585365853655,0.03272294601219205,0.015126050420168069,0.01722176599320941,0.24874999999999997,0.08189646665149845
screw,wrn50,0.35,5,0.058536585365853655,0.03272294601219205,0.005042016806722689,0.007516194882352234,0.265,0.07776165507497894
screw,wrn50,0.4,5,0.058536585365853655,0.03272294601219205,0.0,0.0,0.29874999999999996,0.08069522135789704
screw,wrn50,0.45,5,0.058536585365853655,0.03272294601219205,0.0,0.0,0.3075,0.08331510217241532
screw,wrn50,0.5,5,0.058536585365853655,0.03272294601219205,0.0,0.0,0.31625,0.0851927960569437
screw,wrn50,0.55,5,0.058536585365853655,0.03272294601219205,0.0,0.0,0.3375,0.0804042520641788
screw,wrn50,0.6,5,0.058536585365853655,0.03272294601219205,0.0,0.0,0.35625,0.07930360962780951
screw_c25,wrn50,0.05,5,0.06829268292682926,0.049985125687607795,0.24201680672268905,0.07262954768514925,0.0,0.0
screw_c25,wrn50,0.1,5,0.06829268292682926,0.049985125687607795,0.12100840336134452,0.026969422749380193,0.11875,0.057960115596848154
screw_c25,wrn50,0.15,5,0.06829268292682926,0.049985125687607795,0.07394957983193277,0.024786354964290127,0.17750000000000002,0.08955183554791046
screw_c25,wrn50,0.2,5,0.06829268292682926,0.049985125687607795,0.02857142857142857,0.022704632077489573,0.23125,0.07967217989988726
screw_c25,wrn50,0.25,5,0.06829268292682926,0.049985125687607795,0.008403361344537815,0.008403361344537816,0.255,0.059522842254045624
screw_c25,wrn50,0.3,5,0.06829268292682926,0.049985125687607795,0.003361344537815126,0.007516194882352233,0.26749999999999996,0.0695128135669964
screw_c25,wrn50,0.35,5,0.06829268292682926,0.049985125687607795,0.0,0.0,0.27999999999999997,0.06516205759489184
screw_c25,wrn50,0.4,5,0.06829268292682926,0.049985125687607795,0.0,0.0,0.3,0.07057243619147632
screw_c25,wrn50,0.45,5,0.06829268292682926,0.049985125687607795,0.0,0.0,0.31375000000000003,0.06951281356699639
screw_c25,wrn50,0.5,5,0.06829268292682926,0.049985125687607795,0.0,0.0,0.33625,0.06880679472261442
screw_c25,wrn50,0.55,5,0.06829268292682926,0.049985125687607795,0.0,0.0,0.34750000000000003,0.06652654545367587
screw_c25,wrn50,0.6,5,0.06829268292682926,0.049985125687607795,0.0,0.0,0.35875,0.051272860754984204
screw_s320,wrn50,0.05,5,0.05853658536585367,0.021815297341461367,0.06890756302521009,0.03823298543219269,0.0,0.0
screw_s320,wrn50,0.1,5,0.05853658536585367,0.021815297341461367,0.030252100840336138,0.015265463970239455,0.04625,0.017455300054711177
screw_s320,wrn50,0.15,5,0.05853658536585367,0.021815297341461367,0.011764705882352941,0.004602710567270303,0.075,0.025387620014487376
screw_s320,wrn50,0.2,5,0.05853658536585367,0.021815297341461367,0.005042016806722689,0.004602710567270303,0.09875,0.036550478793033615
screw_s320,wrn50,0.25,5,0.05853658536585367,0.021815297341461367,0.003361344537815126,0.004602710567270303,0.10875000000000001,0.0386793711169145
screw_s320,wrn50,0.3,5,0.05853658536585367,0.021815297341461367,0.003361344537815126,0.004602710567270303,0.125,0.042158554885100126
screw_s320,wrn50,0.35,5,0.05853658536585367,0.021815297341461367,0.001680672268907563,0.003758097441176117,0.145,0.04361586580591974
screw_s320,wrn50,0.4,5,0.05853658536585367,0.021815297341461367,0.001680672268907563,0.003758097441176117,0.1625,0.04656145133047294
screw_s320,wrn50,0.45,5,0.05853658536585367,0.021815297341461367,0.0,0.0,0.18250000000000002,0.0351892206506481
screw_s320,wrn50,0.5,5,0.05853658536585367,0.021815297341461367,0.0,0.0,0.19624999999999998,0.03867937111691452
screw_s320,wrn50,0.55,5,0.05853658536585367,0.021815297341461367,0.0,0.0,0.2125,0.035078038001005694
screw_s320,wrn50,0.6,5,0.05853658536585367,0.021815297341461367,0.0,0.0,0.225,0.04026280852101601
screw_s448,dinov2_s,0.05,5,0.004878048780487805,0.010907648670730682,0.21176470588235294,0.043826570791278316,0.0,0.0
screw_s448,dinov2_s,0.1,5,0.004878048780487805,0.010907648670730682,0.1495798319327731,0.041763945007694724,0.05125,0.012022115038544591
screw_s448,dinov2_s,0.15,5,0.004878048780487805,0.010907648670730682,0.08235294117647059,0.03221897397089212,0.11750000000000001,0.024366985862022413
screw_s448,dinov2_s,0.2,5,0.004878048780487805,0.010907648670730682,0.048739495798319335,0.029947108707908336,0.16499999999999998,0.0308093938596656
screw_s448,dinov2_s,0.25,5,0.004878048780487805,0.010907648670730682,0.02857142857142857,0.009581306093270068,0.1925,0.03106193409947295
screw_s448,dinov2_s,0.3,5,0.004878048780487805,0.010907648670730682,0.023529411764705882,0.010956642697819579,0.205,0.02554102092712819
screw_s448,dinov2_s,0.35,5,0.004878048780487805,0.010907648670730682,0.011764705882352941,0.009581306093270067,0.22999999999999998,0.03628231318424998
screw_s448,dinov2_s,0.4,5,0.004878048780487805,0.010907648670730682,0.006722689075630252,0.003758097441176117,0.2475,0.03354101966249685
screw_s448,dinov2_s,0.45,5,0.004878048780487805,0.010907648670730682,0.005042016806722689,0.004602710567270303,0.26749999999999996,0.0319912097301743
screw_s448,dinov2_s,0.5,5,0.004878048780487805,0.010907648670730682,0.001680672268907563,0.003758097441176117,0.29375,0.037500000000000006
screw_s448,dinov2_s,0.55,5,0.004878048780487805,0.010907648670730682,0.001680672268907563,0.003758097441176117,0.31124999999999997,0.03573994613873951
screw_s448,dinov2_s,0.6,5,0.004878048780487805,0.010907648670730682,0.0,0.0,0.33375,0.0298433409657833
