backbone,category,n_fit,seed,alpha_ok,false_alarm_rate,miss_rate,unsure_rate,unsure_rate_good,unsure_rate_defect,accuracy_on_decided
dinov2_s,screw,256,1,0.15,0.07317073170731707,0.15966386554621848,0.25,0.14634146341463414,0.2857142857142857,0.8166666666666667
dinov2_s,screw,256,1,0.2,0.07317073170731707,0.13445378151260504,0.28125,0.1951219512195122,0.31092436974789917,0.8347826086956521
dinov2_s,screw,256,1,0.25,0.07317073170731707,0.08403361344537816,0.35,0.3170731707317073,0.36134453781512604,0.875
dinov2_s,screw,256,1,0.3,0.07317073170731707,0.06722689075630252,0.3625,0.3170731707317073,0.37815126050420167,0.8921568627450981
dinov2_s,screw,256,1,0.35,0.07317073170731707,0.05042016806722689,0.4,0.4146341463414634,0.3949579831932773,0.90625
dinov2_s,screw,256,1,0.4,0.07317073170731707,0.04201680672268908,0.40625,0.4146341463414634,0.40336134453781514,0.9157894736842105
dinov2_s,screw,256,1,0.45,0.07317073170731707,0.025210084033613446,0.475,0.6341463414634146,0.42016806722689076,0.9285714285714286
dinov2_s,screw,256,1,0.5,0.07317073170731707,0.025210084033613446,0.4875,0.6829268292682927,0.42016806722689076,0.926829268292683
dinov2_s,screw,256,1,0.55,0.07317073170731707,0.025210084033613446,0.5,0.7317073170731707,0.42016806722689076,0.925
dinov2_s,screw,256,1,0.6,0.07317073170731707,0.01680672268907563,0.51875,0.7804878048780488,0.42857142857142855,0.935064935064935
dinov2_s,screw,256,2,0.05,0.024390243902439025,0.5966386554621849,0.0,0.0,0.0,0.55
dinov2_s,screw,256,2,0.1,0.024390243902439025,0.35294117647058826,0.2,0.07317073170731707,0.24369747899159663,0.6640625
dinov2_s,screw,256,2,0.15,0.024390243902439025,0.31092436974789917,0.23125,0.07317073170731707,0.2857142857142857,0.6910569105691057
dinov2_s,screw,256,2,0.2,0.024390243902439025,0.20168067226890757,0.31875,0.0975609756097561,0.3949579831932773,0.7706422018348624
dinov2_s,screw,256,2,0.25,0.024390243902439025,0.17647058823529413,0.35625,0.17073170731707318,0.42016806722689076,0.7864077669902912
dinov2_s,screw,256,2,0.3,0.024390243902439025,0.13445378151260504,0.39375,0.1951219512195122,0.46218487394957986,0.8247422680412371
dinov2_s,screw,256,2,0.35,0.024390243902439025,0.08403361344537816,0.45625,0.2926829268292683,0.5126050420168067,0.8735632183908046
dinov2_s,screw,256,2,0.4,0.024390243902439025,0.05042016806722689,0.49375,0.34146341463414637,0.5462184873949579,0.9135802469135802
dinov2_s,screw,256,2,0.45,0.024390243902439025,0.05042016806722689,0.49375,0.34146341463414637,0.5462184873949579,0.9135802469135802
dinov2_s,screw,256,2,0.5,0.024390243902439025,0.05042016806722689,0.5125,0.4146341463414634,0.5462184873949579,0.9102564102564102
dinov2_s,screw,256,2,0.55,0.024390243902439025,0.03361344537815126,0.575,0.6097560975609756,0.5630252100840336,0.9264705882352942
dinov2_s,screw,256,2,0.6,0.024390243902439025,0.025210084033613446,0.6,0.6829268292682927,0.5714285714285714,0.9375
dinov2_s,screw,256,3,0.05,0.07317073170731707,0.42857142857142855,0.0,0.0,0.0,0.6625
dinov2_s,screw,256,3,0.1,0.07317073170731707,0.36134453781512604,0.05625,0.024390243902439025,0.06722689075630252,0.695364238410596
dinov2_s,screw,256,3,0.15,0.07317073170731707,0.226890756302521,0.1625,0.04878048780487805,0.20168067226890757,0.7761194029850746
dinov2_s,screw,256,3,0.2,0.07317073170731707,0.1092436974789916,0.29375,0.21951219512195122,0.31932773109243695,0.8584070796460177
dinov2_s,screw,256,3,0.25,0.07317073170731707,0.09243697478991597,0.34375,0.36585365853658536,0.33613445378151263,0.8666666666666667
dinov2_s,screw,256,3,0.3,0.07317073170731707,0.06722689075630252,0.3625,0.36585365853658536,0.36134453781512604,0.8921568627450981
dinov2_s,screw,256,3,0.35,0.07317073170731707,0.05042016806722689,0.3875,0.4146341463414634,0.37815126050420167,0.9081632653061225
dinov2_s,screw,256,3,0.4,0.07317073170731707,0.04201680672268908,0.425,0.5365853658536586,0.3865546218487395,0.9130434782608695
dinov2_s,screw,256,3,0.45,0.07317073170731707,0.03361344537815126,0.46875,0.6829268292682927,0.3949579831932773,0.9176470588235294
dinov2_s,screw,256,3,0.5,0.07317073170731707,0.03361344537815126,0.46875,0.6829268292682927,0.3949579831932773,0.9176470588235294
dinov2_s,screw,256,3,0.55,0.07317073170731707,0.01680672268907563,0.49375,0.7317073170731707,0.4117647058823529,0.9382716049382716
dinov2_s,screw,256,3,0.6,0.07317073170731707,0.01680672268907563,0.5,0.7560975609756098,0.4117647058823529,0.9375
dinov2_s,screw,256,4,0.05,0.0,0.5378151260504201,0.0,0.0,0.0,0.6
dinov2_s,screw,256,4,0.1,0.0,0.4117647058823529,0.1125,0.07317073170731707,0.12605042016806722,0.6549295774647887
dinov2_s,screw,256,4,0.15,0.0,0.40336134453781514,0.125,0.0975609756097561,0.13445378151260504,0.6571428571428571
dinov2_s,screw,256,4,0.2,0.0,0.31092436974789917,0.20625,0.14634146341463414,0.226890756302521,0.7086614173228346
dinov2_s,screw,256,4,0.25,0.0,0.20168067226890757,0.3125,0.24390243902439024,0.33613445378151263,0.7818181818181819
dinov2_s,screw,256,4,0.3,0.0,0.10084033613445378,0.40625,0.3170731707317073,0.4369747899159664,0.8736842105263158
